Chapter and subsection,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,,,Explicit ontological type,Number of UFO types,Harmful Event,Hazardous Event
"IEC 61508-4:2010, 3.6.14",no effect failure,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",no effect failure,no effect failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.15",safe failure fraction,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",safe failure fraction,safe failure fraction: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.16",failure rate,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",failure rate,failure rate: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.17",probability of dangerous failure on demand,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",probability of dangerous failure on demand / PFD,probability of dangerous failure on demand: Moment; PFD: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.18",average probability of dangerous failure on demand,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",average probability of dangerous failure on demand / PFDavg,average probability of dangerous failure on demand: Moment; PFDavg: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.19",average frequency of dangerous failure,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",average frequency of dangerous failure / PFH,average frequency of dangerous failure: Moment; PFH: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.6",Figure 4 – Failure model,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",fault / error / failure,fault: Event/Situation; error: Event/Situation; failure: Event,,,Implicit,3,,
"IEC 61508-4:2010, Figure 4 note 1","In level (i), a cause may manifest itself as an error within this level functional unit and, if not corrected or circumvented, may cause a failure of this functional unit, as a result of which it falls into an “F” state where it is no longer able to perform a required function.",Failure model,"Explain cause, error, failure and state relations",cause / error / failure,cause: Event/Object; error: Event/Situation; failure: Event,,,Implicit,3,,
"IEC 61508-4:2010, Figure 4 note 2","The same thing may be viewed as a state of the level (i) functional unit into which it has fallen as a result of its failure, and also as the cause of the failure of the level (i-1) functional unit.",Failure model,"Explain cause, error, failure and state relations",fault / state / cause,fault: Event/Situation; state: Situation; cause: Event/Object,,,Implicit,3,,
"IEC 61508-4:2010, Figure 4 note 3","In some cases, a failure or an error may be caused by an external event such as lightning or electrostatic noise, rather than by an internal fault. Likewise, a fault may exist without a prior failure. An example of such a fault is a design fault.",Failure model,"Explain cause, error, failure and state relations",external event / fault / error / failure,external event: Event; fault: Event/Situation; error: Event/Situation; failure: Event,,,Explicit,3,,
"IEC 61508-4:2010, 3.7.1",safety lifecycle,Terminological definition - lifecycle concept,Define lifecycle and configuration concepts,safety lifecycle,safety lifecycle: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.7.2",software lifecycle,Terminological definition - lifecycle concept,Define lifecycle and configuration concepts,software lifecycle,software lifecycle: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.7.3",configuration management,Terminological definition - lifecycle concept,Define lifecycle and configuration concepts,configuration management,configuration management: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.7.4",configuration baseline,Terminological definition - lifecycle concept,Define lifecycle and configuration concepts,configuration baseline,configuration baseline: Object,,,Implicit,1,,
"IEC 61508-4:2010, 3.7.5",impact analysis,Terminological definition - lifecycle concept,Define lifecycle and configuration concepts,impact analysis,impact analysis: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.8.3",functional safety assessment,Terminological definition - confirmation concept,"Define assessment, audit, proof test and diagnostic concepts",functional safety assessment,functional safety assessment: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.8.4",functional safety audit,Terminological definition - confirmation concept,"Define assessment, audit, proof test and diagnostic concepts",functional safety audit,functional safety audit: Event,,,Implicit,1,,
